"2013-11-01 09:00:00","2013-11-01 18:00:00","9.0"
"2013-11-06 09:00:00","2013-11-06 18:00:00","9.0"
"2013-11-07 09:00:00","2013-11-07 18:00:00","9.0"
"2013-11-08 09:00:00","2013-11-08 18:00:00","9.0"
"2013-11-13 09:00:00","2013-11-13 18:00:00","9.0"
"2013-11-14 09:00:00","2013-11-14 18:00:00","9.0"
"2013-11-15 09:00:00","2013-11-15 18:00:00","9.0"
"2013-11-20 09:00:00","2013-11-20 18:00:00","9.0"
"2013-11-21 09:00:00","2013-11-21 18:00:00","9.0"
"2013-11-22 09:00:00","2013-11-22 18:00:00","9.0"
"2013-11-27 09:00:00","2013-11-27 18:00:00","9.0"
"2013-11-28 09:00:00","2013-11-28 18:00:00","9.0"
"2013-11-29 09:00:00","2013-11-29 18:00:00","9.0"
"2013-12-04 09:00:00","2013-12-04 18:00:00","9.0"
"2013-12-05 09:00:00","2013-12-05 18:00:00","9.0"
"2013-12-06 09:00:00","2013-12-06 18:00:00","9.0"
"2013-12-11 09:00:00","2013-12-11 18:00:00","9.0"
"2013-12-12 09:00:00","2013-12-12 18:00:00","9.0"
"2013-12-13 09:00:00","2013-12-13 18:00:00","9.0"
"2013-12-18 09:00:00","2013-12-18 18:00:00","9.0"
"2013-12-19 09:00:00","2013-12-19 18:00:00","9.0"
"2013-12-20 09:00:00","2013-12-20 18:00:00","9.0"
"2013-12-27 09:00:00","2013-12-27 18:00:00","9.0"
"2014-01-02 09:00:00","2014-01-02 18:00:00","9.0"
"2014-01-03 09:00:00","2014-01-03 18:00:00","9.0"
"2014-01-08 09:00:00","2014-01-08 18:00:00","9.0"
"2014-01-09 09:00:00","2014-01-09 18:00:00","9.0"
"2014-01-10 09:00:00","2014-01-10 18:00:00","9.0"
"2014-01-15 09:00:00","2014-01-15 18:00:00","9.0"
"2014-01-16 09:00:00","2014-01-16 18:00:00","9.0"
"2014-01-17 09:00:00","2014-01-17 18:00:00","9.0"
"2014-01-22 09:00:00","2014-01-22 18:00:00","9.0"
"2014-01-23 09:00:00","2014-01-23 18:00:00","9.0"
"2014-01-24 09:00:00","2014-01-24 18:00:00","9.0"
"2014-01-29 09:00:00","2014-01-29 18:00:00","9.0"
"2014-01-30 09:00:00","2014-01-30 18:00:00","9.0"
"2014-01-31 09:00:00","2014-01-31 18:00:00","9.0"
"2014-02-05 09:00:00","2014-02-05 18:00:00","9.0"
"2014-02-06 09:00:00","2014-02-06 18:00:00","9.0"
"2014-02-07 09:00:00","2014-02-07 18:00:00","9.0"
"2014-02-12 09:00:00","2014-02-12 18:00:00","9.0"
